name,M,read_total,read_unique,read_entropy,read_local_entropy,read_footprint90,write_total,write_unique,write_entropy,write_local_entropy,write_footprint90
619.lbm_s,10,74109,15749,11.207024,6.099635,8339,23469,4662,9.185847,3.199979,2316
621.wrf_s,10,109587,21243,11.558649,6.455778,10285,35766,7524,9.814318,3.745727,3948
557.xz_r,10,46289,11972,10.886634,5.704291,7344,15025,3810,9.241249,3.216729,2308
500.perlbench_r,10,266873,40052,11.346680,5.803021,14334,155054,24155,9.888039,3.326266,8650
523.xalancbmk_r,10,774113,137862,11.665362,6.323917,60451,354711,24481,8.862207,2.902709,758
502.gcc_r,10,2228442,129958,10.859965,5.934161,8226,1461603,300670,11.328328,5.299124,154510
520.omnetpp_r,10,13972975,343162,11.643929,6.422635,14423,7396644,252600,10.406849,3.875525,5591
648.exchange2_s,10,17608676,87496,9.622052,3.675181,972,8785962,71138,9.164152,3.988197,3570
649.fotonik3d_s,10,17856557,164915,7.926408,3.854040,265,10984303,55739,7.816471,2.878294,229
541.leela_r,10,23107011,134251,7.546102,2.831501,214,9383175,233791,6.114015,1.032988,48
505.mcf_r,10,19343696,105849,6.780965,3.278348,114,12852047,430134,6.989128,2.782390,104
531.deepsjeng_r,10,537382,126633,11.718901,6.221662,72895,45636229,22949360,24.413654,19.403587,20444283
