name,M,read_total,read_unique,read_entropy,read_local_entropy,read_footprint90,write_total,write_unique,write_entropy,write_local_entropy,write_footprint90
619.lbm_s,10,47641,2111,9.168320,6.430632,985,5583,758,8.595364,5.524402,496
621.wrf_s,10,71467,3034,9.479853,6.867661,1356,8937,1498,9.661010,6.581772,913
557.xz_r,10,30488,1530,8.841027,5.884247,787,4204,595,8.499916,5.275064,403
500.perlbench_r,10,154577,5460,9.600810,7.103618,1724,41767,4897,11.056110,7.701036,2604
523.xalancbmk_r,10,474047,10097,10.115880,7.746890,3654,55197,5159,9.157999,6.782648,2146
502.gcc_r,10,1204735,25199,9.751391,7.892997,3673,490287,39973,13.355284,10.193071,21260
520.omnetpp_r,10,7764689,45214,10.677386,8.507871,5190,1600466,38556,11.096334,8.678169,12936
648.exchange2_s,10,8389482,18918,6.561686,3.707182,61,2687437,16194,7.894736,5.354802,2850
505.mcf_r,10,4889091,71661,5.612055,4.376743,31,1185684,78968,8.870073,6.993784,51434
649.fotonik3d_s,10,8317404,10273,5.969947,4.485701,66,2704667,12963,5.388662,3.713548,27
531.deepsjeng_r,10,360548,8499,10.019351,7.522002,3549,45471303,11436781,23.435869,19.437540,10208113
541.leela_r,10,71564039,9558,4.820684,3.346473,27,2226231,39556,14.986475,11.050997,29839
